timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621230184113,20175,HTTP - Create Message,201,Created,User Threads 1-1424,text,true,,649,396,298,298,https://api.chatengine.io/users/,20175,0,0
1621230185021,19267,HTTP - Create Message,201,Created,User Threads 1-1971,text,true,,649,396,298,298,https://api.chatengine.io/users/,19267,0,1
1621230181580,22726,HTTP - Create Message,201,Created,User Threads 1-581,text,true,,648,394,296,296,https://api.chatengine.io/users/,22726,0,0
1621230181578,22728,HTTP - Create Message,201,Created,User Threads 1-601,text,true,,648,394,296,296,https://api.chatengine.io/users/,22728,0,0
1621230181579,22765,HTTP - Create Message,201,Created,User Threads 1-586,text,true,,648,394,294,294,https://api.chatengine.io/users/,22765,0,1
1621230183942,20402,HTTP - Create Message,201,Created,User Threads 1-1318,text,true,,649,396,294,294,https://api.chatengine.io/users/,20402,0,1
1621230183974,20381,HTTP - Create Message,201,Created,User Threads 1-1340,text,true,,649,396,292,292,https://api.chatengine.io/users/,20381,0,1
1621230183960,20433,HTTP - Create Message,201,Created,User Threads 1-1329,text,true,,649,396,291,291,https://api.chatengine.io/users/,20433,0,1
1621230180523,23870,HTTP - Create Message,201,Created,User Threads 1-410,text,true,,648,394,291,291,https://api.chatengine.io/users/,23870,0,0
1621230182282,22111,HTTP - Create Message,201,Created,User Threads 1-751,text,true,,648,394,291,291,https://api.chatengine.io/users/,22111,0,1
1621230183888,20516,HTTP - Create Message,201,Created,User Threads 1-1285,text,true,,649,396,288,288,https://api.chatengine.io/users/,20516,0,1
1621230183665,20739,HTTP - Create Message,201,Created,User Threads 1-1126,text,true,,649,396,288,288,https://api.chatengine.io/users/,20739,0,0
1621230184278,20126,HTTP - Create Message,201,Created,User Threads 1-1529,text,true,,649,396,288,288,https://api.chatengine.io/users/,20126,0,0
1621230184227,20189,HTTP - Create Message,201,Created,User Threads 1-1505,text,true,,649,396,285,285,https://api.chatengine.io/users/,20189,0,1
1621230183916,20512,HTTP - Create Message,201,Created,User Threads 1-1308,text,true,,649,396,284,284,https://api.chatengine.io/users/,20512,0,1
1621230182292,22175,HTTP - Create Message,201,Created,User Threads 1-774,text,true,,648,394,283,283,https://api.chatengine.io/users/,22175,0,0
